"Year of inspection","Brand and model series","Registration year","Number of inspections","Average mileage","Median mileage","Rejection rate","Accepted cars","Rejected Cars"
"2020","Makes in total - Models in total","Years in total",1270829,179078,167574,20,1022935,247894
"2020","Makes in total - Models in total","2002",.,.,.,.,.,.
"2020","Makes in total - Models in total","2003",.,.,.,.,.,.
"2020","Makes in total - Models in total","2004",.,.,.,.,.,.
"2020","Makes in total - Models in total","2005",141127,234826,223693,32,95849,45278
"2020","Makes in total - Models in total","2006",148841,227172,216133,29,105052,43789
"2020","Makes in total - Models in total","2007",137103,222410,210588,27,100545,36558
"2020","Makes in total - Models in total","2008",147995,220815,211862,24,111797,36198
"2020","Makes in total - Models in total","2009",100137,202353,192766,20,80282,19855
"2020","Makes in total - Models in total","2010",122743,183103,172293,19,99300,23443
"2020","Makes in total - Models in total","2011",82313,170547,160078,17,68166,14147
"2020","Makes in total - Models in total","2012",68865,150515,139268,14,59365,9500
"2020","Makes in total - Models in total","2014",22564,136397,117725,9,20557,2007
"2020","Makes in total - Models in total","2013",66939,134331,122600,10,60109,6830
"2020","Makes in total - Models in total","2015",103546,95330,85320,6,97562,5984
"2020","Makes in total - Models in total","2016",21115,96427,78999,6,19880,1235
"2020","Makes in total - Models in total","2017",107541,59017,50667,3,104471,3070
"2020","Alfa Romeo - Models in total","Years in total",2512,163691,156629,31,1724,788
"2020","Alfa Romeo - Models in total","2002",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2003",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2004",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2005",283,184914,181436,43,161,122
"2020","Alfa Romeo - Models in total","2006",396,207152,198930,40,237,159
"2020","Alfa Romeo - Models in total","2007",374,200043,189961,43,215,159
"2020","Alfa Romeo - Models in total","2008",281,188179,180712,39,172,109
"2020","Alfa Romeo - Models in total","2009",117,174513,167214,30,82,35
"2020","Alfa Romeo - Models in total","2010",292,153567,140516,32,198,94
"2020","Alfa Romeo - Models in total","2011",281,136396,128931,19,227,54
"2020","Alfa Romeo - Models in total","2012",178,124685,115660,12,156,22
"2020","Alfa Romeo - Models in total","2014",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2013",104,108790,99367,13,90,14
"2020","Alfa Romeo - Models in total","2015",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2016",.,.,.,.,.,.
"2020","Alfa Romeo - Models in total","2017",132,50570,48164,14,114,18
"2020","Alfa Romeo 147","Years in total",280,161629,158222,46,152,128
"2020","Alfa Romeo 147","2002",.,.,.,.,.,.
"2020","Alfa Romeo 147","2003",.,.,.,.,.,.
"2020","Alfa Romeo 147","2004",.,.,.,.,.,.
"2020","Alfa Romeo 147","2005",.,.,.,.,.,.
"2020","Alfa Romeo 147","2006",.,.,.,.,.,.
"2020","Alfa Romeo 147","2007",.,.,.,.,.,.
"2020","Alfa Romeo 147","2008",.,.,.,.,.,.
"2020","Alfa Romeo 147","2009",.,.,.,.,.,.
"2020","Alfa Romeo 147","2010",.,.,.,.,.,.
"2020","Alfa Romeo 147","2011",.,.,.,.,.,.
"2020","Alfa Romeo 147","2012",.,.,.,.,.,.
"2020","Alfa Romeo 147","2014",.,.,.,.,.,.
"2020","Alfa Romeo 147","2013",.,.,.,.,.,.
"2020","Alfa Romeo 147","2015",.,.,.,.,.,.
"2020","Alfa Romeo 147","2016",.,.,.,.,.,.
"2020","Alfa Romeo 147","2017",.,.,.,.,.,.
"2020","Alfa Romeo 156","Years in total",105,216264,209489,51,51,54
"2020","Alfa Romeo 156","2002",.,.,.,.,.,.
"2020","Alfa Romeo 156","2003",.,.,.,.,.,.
"2020","Alfa Romeo 156","2004",.,.,.,.,.,.
"2020","Alfa Romeo 156","2005",.,.,.,.,.,.
"2020","Alfa Romeo 156","2006",.,.,.,.,.,.
"2020","Alfa Romeo 156","2007",.,.,.,.,.,.
"2020","Alfa Romeo 156","2008",.,.,.,.,.,.
"2020","Alfa Romeo 156","2009",.,.,.,.,.,.
"2020","Alfa Romeo 156","2010",.,.,.,.,.,.
"2020","Alfa Romeo 156","2011",.,.,.,.,.,.
"2020","Alfa Romeo 156","2012",.,.,.,.,.,.
"2020","Alfa Romeo 156","2014",.,.,.,.,.,.
"2020","Alfa Romeo 156","2013",.,.,.,.,.,.
"2020","Alfa Romeo 156","2015",.,.,.,.,.,.
