"Year of inspection","Brand and model series","Registration year","Number of inspections","Average mileage","Median mileage","Rejection rate","Accepted cars","Rejected Cars"
"2020","Alfa Romeo 156","2016",.,.,.,.,.,.
"2020","Alfa Romeo 156","2017",.,.,.,.,.,.
"2020","Alfa Romeo 159","Years in total",958,212346,205135,38,591,367
"2020","Alfa Romeo 159","2002",.,.,.,.,.,.
"2020","Alfa Romeo 159","2003",.,.,.,.,.,.
"2020","Alfa Romeo 159","2004",.,.,.,.,.,.
"2020","Alfa Romeo 159","2005",.,.,.,.,.,.
"2020","Alfa Romeo 159","2006",289,224568,214181,43,164,125
"2020","Alfa Romeo 159","2007",245,225552,214506,46,132,113
"2020","Alfa Romeo 159","2008",183,208919,213790,36,118,65
"2020","Alfa Romeo 159","2009",.,.,.,.,.,.
"2020","Alfa Romeo 159","2010",116,188146,184915,26,86,30
"2020","Alfa Romeo 159","2011",.,.,.,.,.,.
"2020","Alfa Romeo 159","2012",.,.,.,.,.,.
"2020","Alfa Romeo 159","2014",.,.,.,.,.,.
"2020","Alfa Romeo 159","2013",.,.,.,.,.,.
"2020","Alfa Romeo 159","2015",.,.,.,.,.,.
"2020","Alfa Romeo 159","2016",.,.,.,.,.,.
"2020","Alfa Romeo 159","2017",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","Years in total",514,120562,114015,12,451,63
"2020","Alfa Romeo GIULIETTA","2002",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2003",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2004",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2005",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2006",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2007",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2008",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2009",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2010",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2011",199,138784,132836,18,164,35
"2020","Alfa Romeo GIULIETTA","2012",130,124832,117708,7,121,9
"2020","Alfa Romeo GIULIETTA","2014",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2013",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2015",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2016",.,.,.,.,.,.
"2020","Alfa Romeo GIULIETTA","2017",.,.,.,.,.,.
"2020","Alfa Romeo GT","Years in total",118,158867,161262,34,78,40
"2020","Alfa Romeo GT","2002",.,.,.,.,.,.
"2020","Alfa Romeo GT","2003",.,.,.,.,.,.
"2020","Alfa Romeo GT","2004",.,.,.,.,.,.
"2020","Alfa Romeo GT","2005",.,.,.,.,.,.
"2020","Alfa Romeo GT","2006",.,.,.,.,.,.
"2020","Alfa Romeo GT","2007",.,.,.,.,.,.
"2020","Alfa Romeo GT","2008",.,.,.,.,.,.
"2020","Alfa Romeo GT","2009",.,.,.,.,.,.
"2020","Alfa Romeo GT","2010",.,.,.,.,.,.
"2020","Alfa Romeo GT","2011",.,.,.,.,.,.
"2020","Alfa Romeo GT","2012",.,.,.,.,.,.
"2020","Alfa Romeo GT","2014",.,.,.,.,.,.
"2020","Alfa Romeo GT","2013",.,.,.,.,.,.
"2020","Alfa Romeo GT","2015",.,.,.,.,.,.
"2020","Alfa Romeo GT","2016",.,.,.,.,.,.
"2020","Alfa Romeo GT","2017",.,.,.,.,.,.
"2020","Alfa Romeo MITO","Years in total",286,118943,116282,32,194,92
"2020","Alfa Romeo MITO","2002",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2003",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2004",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2005",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2006",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2007",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2008",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2009",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2010",144,125953,120672,38,89,55
"2020","Alfa Romeo MITO","2011",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2012",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2014",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2013",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2015",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2016",.,.,.,.,.,.
"2020","Alfa Romeo MITO","2017",.,.,.,.,.,.
"2020","Audi - Models in total","Years in total",67392,198550,191537,13,58526,8866
"2020","Audi - Models in total","2002",.,.,.,.,.,.
"2020","Audi - Models in total","2003",.,.,.,.,.,.
"2020","Audi - Models in total","2004",.,.,.,.,.,.
"2020","Audi - Models in total","2005",6312,276370,266271,26,4675,1637
"2020","Audi - Models in total","2006",6919,265831,254280,23,5322,1597
"2020","Audi - Models in total","2007",6484,250971,242318,19,5226,1258
"2020","Audi - Models in total","2008",8335,248134,241479,17,6932,1403
"2020","Audi - Models in total","2009",6158,222478,215329,13,5336,822
"2020","Audi - Models in total","2010",6587,201109,195269,11,5842,745
"2020","Audi - Models in total","2011",4602,184316,178892,9,4170,432
"2020","Audi - Models in total","2012",4198,166781,160798,7,3903,295
"2020","Audi - Models in total","2014",1698,130287,122945,4,1623,75
"2020","Audi - Models in total","2013",3901,146543,141088,6,3668,233
"2020","Audi - Models in total","2015",5595,106743,100726,3,5412,183
"2020","Audi - Models in total","2016",1336,91567,85064,5,1275,61
"2020","Audi - Models in total","2017",5267,65560,58749,2,5142,125
"2020","Audi A1","Years in total",820,92150,84945,9,743,77
"2020","Audi A1","2002",.,.,.,.,.,.
"2020","Audi A1","2003",.,.,.,.,.,.
"2020","Audi A1","2004",.,.,.,.,.,.
"2020","Audi A1","2005",.,.,.,.,.,.
"2020","Audi A1","2006",.,.,.,.,.,.
"2020","Audi A1","2007",.,.,.,.,.,.
"2020","Audi A1","2008",.,.,.,.,.,.
"2020","Audi A1","2009",.,.,.,.,.,.
"2020","Audi A1","2010",141,127265,120075,18,115,26
"2020","Audi A1","2011",193,108354,101550,15,164,29
"2020","Audi A1","2012",174,99158,95088,6,164,10
"2020","Audi A1","2014",.,.,.,.,.,.
"2020","Audi A1","2013",.,.,.,.,.,.
"2020","Audi A1","2015",.,.,.,.,.,.
"2020","Audi A1","2016",.,.,.,.,.,.
"2020","Audi A1","2017",.,.,.,.,.,.
"2020","Audi A2","Years in total",.,.,.,.,.,.
"2020","Audi A2","2002",.,.,.,.,.,.
"2020","Audi A2","2003",.,.,.,.,.,.
"2020","Audi A2","2004",.,.,.,.,.,.
"2020","Audi A2","2005",.,.,.,.,.,.
"2020","Audi A2","2006",.,.,.,.,.,.
"2020","Audi A2","2007",.,.,.,.,.,.
"2020","Audi A2","2008",.,.,.,.,.,.
"2020","Audi A2","2009",.,.,.,.,.,.
"2020","Audi A2","2010",.,.,.,.,.,.
"2020","Audi A2","2011",.,.,.,.,.,.
"2020","Audi A2","2012",.,.,.,.,.,.
"2020","Audi A2","2014",.,.,.,.,.,.
"2020","Audi A2","2013",.,.,.,.,.,.
"2020","Audi A2","2015",.,.,.,.,.,.
"2020","Audi A2","2016",.,.,.,.,.,.
"2020","Audi A2","2017",.,.,.,.,.,.
"2020","Audi A3","Years in total",12847,157290,148507,14,11101,1746
"2020","Audi A3","2002",.,.,.,.,.,.
"2020","Audi A3","2003",.,.,.,.,.,.
"2020","Audi A3","2004",.,.,.,.,.,.
"2020","Audi A3","2005",1247,226694,216393,29,884,363
"2020","Audi A3","2006",1302,224674,211428,29,924,378
"2020","Audi A3","2007",1122,203454,196443,18,918,204
"2020","Audi A3","2008",1275,204530,199405,14,1091,184
"2020","Audi A3","2009",1067,182825,176568,14,914,153
"2020","Audi A3","2010",1151,168790,162394,14,995,156
"2020","Audi A3","2011",659,143765,142063,11,585,74
"2020","Audi A3","2012",575,132998,127381,6,539,36
"2020","Audi A3","2014",518,106238,102263,6,485,33
"2020","Audi A3","2013",993,119418,113530,7,922,71
"2020","Audi A3","2015",1614,88525,83313,4,1556,58
"2020","Audi A3","2016",313,73998,68613,6,295,18
"2020","Audi A3","2017",1011,55546,49382,2,993,18
"2020","Audi A4","Years in total",25174,216329,211403,15,21404,3770
"2020","Audi A4","2002",.,.,.,.,.,.
"2020","Audi A4","2003",.,.,.,.,.,.
"2020","Audi A4","2004",.,.,.,.,.,.
"2020","Audi A4","2005",3112,276056,267247,27,2287,825
"2020","Audi A4","2006",2690,265874,252666,24,2050,640
"2020","Audi A4","2007",2322,256950,247828,21,1831,491
"2020","Audi A4","2008",4251,258708,254687,19,3456,795
"2020","Audi A4","2009",2508,230364,224753,13,2174,334
"2020","Audi A4","2010",2487,208661,201494,10,2239,248
"2020","Audi A4","2011",1547,193266,186210,8,1420,127
"2020","Audi A4","2012",1361,170019,165662,8,1247,114
"2020","Audi A4","2014",374,138615,132850,3,361,13
"2020","Audi A4","2013",1203,157096,152469,6,1129,74
"2020","Audi A4","2015",1181,117641,109588,3,1151,30
"2020","Audi A4","2016",504,94237,86355,5,477,27
"2020","Audi A4","2017",1634,73431,66151,3,1582,52
"2020","Audi A5","Years in total",3390,173834,171103,10,3055,335
"2020","Audi A5","2002",.,.,.,.,.,.
"2020","Audi A5","2003",.,.,.,.,.,.
"2020","Audi A5","2004",.,.,.,.,.,.
"2020","Audi A5","2005",.,.,.,.,.,.
"2020","Audi A5","2006",.,.,.,.,.,.
"2020","Audi A5","2007",192,251073,244839,21,152,40
"2020","Audi A5","2008",425,218397,211967,17,354,71
"2020","Audi A5","2009",424,201062,193170,12,373,51
"2020","Audi A5","2010",798,193410,188792,10,719,79
"2020","Audi A5","2011",349,172719,168308,8,320,29
"2020","Audi A5","2012",356,156002,152757,6,334,22
"2020","Audi A5","2014",.,.,.,.,.,.
"2020","Audi A5","2013",284,151066,145464,7,265,19
"2020","Audi A5","2015",179,108796,103722,2,175,4
"2020","Audi A5","2016",.,.,.,.,.,.
"2020","Audi A5","2017",267,58899,53625,6,252,15
"2020","Audi A6","Years in total",15022,238340,232868,13,13027,1995
"2020","Audi A6","2002",.,.,.,.,.,.
"2020","Audi A6","2003",.,.,.,.,.,.
"2020","Audi A6","2004",.,.,.,.,.,.
"2020","Audi A6","2005",1832,312712,303664,23,1405,427
"2020","Audi A6","2006",2199,290344,280263,19,1782,417
"2020","Audi A6","2007",1795,286888,274760,18,1470,325
"2020","Audi A6","2008",1755,272081,267752,15,1484,271
"2020","Audi A6","2009",1237,252223,245510,13,1077,160
"2020","Audi A6","2010",955,237433,229412,13,831,124
"2020","Audi A6","2011",1045,213662,208471,10,945,100
"2020","Audi A6","2012",1021,196247,189727,6,962,59
"2020","Audi A6","2014",322,163083,155676,4,310,12
"2020","Audi A6","2013",678,175083,171696,5,647,31
"2020","Audi A6","2015",1282,126466,120991,4,1234,48
"2020","Audi A6","2016",223,118047,106366,3,217,6
"2020","Audi A6","2017",678,80064,73997,2,663,15
"2020","Audi A7","Years in total",482,160771,159815,8,442,40
"2020","Audi A7","2002",.,.,.,.,.,.
"2020","Audi A7","2003",.,.,.,.,.,.
"2020","Audi A7","2004",.,.,.,.,.,.
"2020","Audi A7","2005",.,.,.,.,.,.
"2020","Audi A7","2006",.,.,.,.,.,.
"2020","Audi A7","2007",.,.,.,.,.,.
"2020","Audi A7","2008",.,.,.,.,.,.
"2020","Audi A7","2009",.,.,.,.,.,.
"2020","Audi A7","2010",.,.,.,.,.,.
"2020","Audi A7","2011",195,186082,184599,9,177,18
"2020","Audi A7","2012",.,.,.,.,.,.
"2020","Audi A7","2014",.,.,.,.,.,.
"2020","Audi A7","2013",.,.,.,.,.,.
"2020","Audi A7","2015",.,.,.,.,.,.
"2020","Audi A7","2016",.,.,.,.,.,.
"2020","Audi A7","2017",.,.,.,.,.,.
"2020","Audi A8","Years in total",540,224685,215899,9,492,48
"2020","Audi A8","2002",.,.,.,.,.,.
"2020","Audi A8","2003",.,.,.,.,.,.
"2020","Audi A8","2004",.,.,.,.,.,.
"2020","Audi A8","2005",.,.,.,.,.,.
"2020","Audi A8","2006",.,.,.,.,.,.
"2020","Audi A8","2007",.,.,.,.,.,.
"2020","Audi A8","2008",.,.,.,.,.,.
"2020","Audi A8","2009",.,.,.,.,.,.
"2020","Audi A8","2010",105,199833,184236,3,102,3
"2020","Audi A8","2011",.,.,.,.,.,.
"2020","Audi A8","2012",.,.,.,.,.,.
"2020","Audi A8","2014",.,.,.,.,.,.
"2020","Audi A8","2013",.,.,.,.,.,.
"2020","Audi A8","2015",.,.,.,.,.,.
"2020","Audi A8","2016",.,.,.,.,.,.
"2020","Audi A8","2017",.,.,.,.,.,.
"2020","Audi Q2","Years in total",575,51980,45028,0,573,2
"2020","Audi Q2","2002",.,.,.,.,.,.
"2020","Audi Q2","2003",.,.,.,.,.,.
"2020","Audi Q2","2004",.,.,.,.,.,.
"2020","Audi Q2","2005",.,.,.,.,.,.
"2020","Audi Q2","2006",.,.,.,.,.,.
"2020","Audi Q2","2007",.,.,.,.,.,.
"2020","Audi Q2","2008",.,.,.,.,.,.
"2020","Audi Q2","2009",.,.,.,.,.,.
"2020","Audi Q2","2010",.,.,.,.,.,.
"2020","Audi Q2","2011",.,.,.,.,.,.
"2020","Audi Q2","2012",.,.,.,.,.,.
"2020","Audi Q2","2014",.,.,.,.,.,.
"2020","Audi Q2","2013",.,.,.,.,.,.
"2020","Audi Q2","2015",.,.,.,.,.,.
"2020","Audi Q2","2016",.,.,.,.,.,.
"2020","Audi Q2","2017",571,52018,45033,0,569,2
"2020","Audi Q3","Years in total",1253,103296,92992,5,1195,58
"2020","Audi Q3","2002",.,.,.,.,.,.
"2020","Audi Q3","2003",.,.,.,.,.,.
"2020","Audi Q3","2004",.,.,.,.,.,.
"2020","Audi Q3","2005",.,.,.,.,.,.
"2020","Audi Q3","2006",.,.,.,.,.,.
"2020","Audi Q3","2007",.,.,.,.,.,.
"2020","Audi Q3","2008",.,.,.,.,.,.
"2020","Audi Q3","2009",.,.,.,.,.,.
"2020","Audi Q3","2010",.,.,.,.,.,.
"2020","Audi Q3","2011",.,.,.,.,.,.
"2020","Audi Q3","2012",204,147243,137622,9,186,18
"2020","Audi Q3","2014",105,120889,115114,4,101,4
"2020","Audi Q3","2013",153,128695,128040,5,146,7
"2020","Audi Q3","2015",403,92658,84228,4,386,17
"2020","Audi Q3","2016",.,.,.,.,.,.
"2020","Audi Q3","2017",259,57589,53415,2,255,4
"2020","Audi Q5","Years in total",3146,165951,160432,6,2946,200
"2020","Audi Q5","2002",.,.,.,.,.,.
"2020","Audi Q5","2003",.,.,.,.,.,.
"2020","Audi Q5","2004",.,.,.,.,.,.
"2020","Audi Q5","2005",.,.,.,.,.,.
"2020","Audi Q5","2006",.,.,.,.,.,.
"2020","Audi Q5","2007",.,.,.,.,.,.
"2020","Audi Q5","2008",.,.,.,.,.,.
"2020","Audi Q5","2009",573,228304,220815,12,502,71
"2020","Audi Q5","2010",486,210170,210283,10,436,50
"2020","Audi Q5","2011",310,194104,190641,6,290,20
"2020","Audi Q5","2012",288,182267,166045,6,272,16
"2020","Audi Q5","2014",136,150803,143014,4,130,6
"2020","Audi Q5","2013",340,157995,158819,5,323,17
"2020","Audi Q5","2015",424,114818,111812,2,415,9
"2020","Audi Q5","2016",.,.,.,.,.,.
"2020","Audi Q5","2017",460,67239,63582,2,452,8
"2020","Audi Q7","Years in total",2263,225839,227740,15,1913,350
"2020","Audi Q7","2002",.,.,.,.,.,.
"2020","Audi Q7","2003",.,.,.,.,.,.
"2020","Audi Q7","2004",.,.,.,.,.,.
"2020","Audi Q7","2005",.,.,.,.,.,.
"2020","Audi Q7","2006",437,303212,300519,25,328,109
"2020","Audi Q7","2007",483,279349,274332,22,379,104
"2020","Audi Q7","2008",236,261702,254276,16,199,37
"2020","Audi Q7","2009",128,237840,238063,19,104,24
"2020","Audi Q7","2010",236,223332,215907,15,200,36
"2020","Audi Q7","2011",126,209435,205585,10,113,13
"2020","Audi Q7","2012",.,.,.,.,.,.
"2020","Audi Q7","2014",.,.,.,.,.,.
"2020","Audi Q7","2013",.,.,.,.,.,.
"2020","Audi Q7","2015",180,122175,120803,4,172,8
"2020","Audi Q7","2016",.,.,.,.,.,.
"2020","Audi Q7","2017",209,72932,71656,1,206,3
"2020","Audi S3","Years in total",288,139352,137713,12,254,34
"2020","Audi S3","2002",.,.,.,.,.,.
"2020","Audi S3","2003",.,.,.,.,.,.
"2020","Audi S3","2004",.,.,.,.,.,.
"2020","Audi S3","2005",.,.,.,.,.,.
"2020","Audi S3","2006",.,.,.,.,.,.
"2020","Audi S3","2007",.,.,.,.,.,.
"2020","Audi S3","2008",.,.,.,.,.,.
"2020","Audi S3","2009",.,.,.,.,.,.
"2020","Audi S3","2010",.,.,.,.,.,.
"2020","Audi S3","2011",.,.,.,.,.,.
"2020","Audi S3","2012",.,.,.,.,.,.
"2020","Audi S3","2014",.,.,.,.,.,.
"2020","Audi S3","2013",.,.,.,.,.,.
"2020","Audi S3","2015",.,.,.,.,.,.
"2020","Audi S3","2016",.,.,.,.,.,.
"2020","Audi S3","2017",.,.,.,.,.,.
"2020","Audi S4","Years in total",217,168829,169938,18,179,38
"2020","Audi S4","2002",.,.,.,.,.,.
"2020","Audi S4","2003",.,.,.,.,.,.
"2020","Audi S4","2004",.,.,.,.,.,.
"2020","Audi S4","2005",.,.,.,.,.,.
"2020","Audi S4","2006",.,.,.,.,.,.
"2020","Audi S4","2007",.,.,.,.,.,.
"2020","Audi S4","2008",.,.,.,.,.,.
"2020","Audi S4","2009",.,.,.,.,.,.
"2020","Audi S4","2010",.,.,.,.,.,.
"2020","Audi S4","2011",.,.,.,.,.,.
"2020","Audi S4","2012",.,.,.,.,.,.
"2020","Audi S4","2014",.,.,.,.,.,.
"2020","Audi S4","2013",.,.,.,.,.,.
"2020","Audi S4","2015",.,.,.,.,.,.
"2020","Audi S4","2016",.,.,.,.,.,.
"2020","Audi S4","2017",.,.,.,.,.,.
"2020","Audi S5","Years in total",209,139516,136371,7,194,15
"2020","Audi S5","2002",.,.,.,.,.,.
"2020","Audi S5","2003",.,.,.,.,.,.
"2020","Audi S5","2004",.,.,.,.,.,.
"2020","Audi S5","2005",.,.,.,.,.,.
"2020","Audi S5","2006",.,.,.,.,.,.
"2020","Audi S5","2007",.,.,.,.,.,.
"2020","Audi S5","2008",.,.,.,.,.,.
"2020","Audi S5","2009",.,.,.,.,.,.
"2020","Audi S5","2010",.,.,.,.,.,.
"2020","Audi S5","2011",.,.,.,.,.,.
"2020","Audi S5","2012",.,.,.,.,.,.
"2020","Audi S5","2014",.,.,.,.,.,.
"2020","Audi S5","2013",.,.,.,.,.,.
"2020","Audi S5","2015",.,.,.,.,.,.
"2020","Audi S5","2016",.,.,.,.,.,.
"2020","Audi S5","2017",.,.,.,.,.,.
"2020","Audi S6","Years in total",.,.,.,.,.,.
"2020","Audi S6","2002",.,.,.,.,.,.
"2020","Audi S6","2003",.,.,.,.,.,.
"2020","Audi S6","2004",.,.,.,.,.,.
"2020","Audi S6","2005",.,.,.,.,.,.
"2020","Audi S6","2006",.,.,.,.,.,.
"2020","Audi S6","2007",.,.,.,.,.,.
"2020","Audi S6","2008",.,.,.,.,.,.
"2020","Audi S6","2009",.,.,.,.,.,.
"2020","Audi S6","2010",.,.,.,.,.,.
"2020","Audi S6","2011",.,.,.,.,.,.
"2020","Audi S6","2012",.,.,.,.,.,.
"2020","Audi S6","2014",.,.,.,.,.,.
"2020","Audi S6","2013",.,.,.,.,.,.
"2020","Audi S6","2015",.,.,.,.,.,.
"2020","Audi S6","2016",.,.,.,.,.,.
"2020","Audi S6","2017",.,.,.,.,.,.
"2020","Audi TT","Years in total",858,152590,155526,13,744,114
"2020","Audi TT","2002",.,.,.,.,.,.
"2020","Audi TT","2003",.,.,.,.,.,.
"2020","Audi TT","2004",.,.,.,.,.,.
"2020","Audi TT","2005",.,.,.,.,.,.
"2020","Audi TT","2006",120,173391,175444,15,102,18
"2020","Audi TT","2007",301,169012,170148,17,249,52
"2020","Audi TT","2008",172,163783,167884,14,148,24
"2020","Audi TT","2009",.,.,.,.,.,.
"2020","Audi TT","2010",.,.,.,.,.,.
"2020","Audi TT","2011",.,.,.,.,.,.
"2020","Audi TT","2012",.,.,.,.,.,.
"2020","Audi TT","2014",.,.,.,.,.,.
"2020","Audi TT","2013",.,.,.,.,.,.
"2020","Audi TT","2015",.,.,.,.,.,.
"2020","Audi TT","2016",.,.,.,.,.,.
"2020","Audi TT","2017",.,.,.,.,.,.
"2020","BMW - Models in total","Years in total",64393,201224,194157,22,50387,14006
"2020","BMW - Models in total","2002",.,.,.,.,.,.
"2020","BMW - Models in total","2003",.,.,.,.,.,.
"2020","BMW - Models in total","2004",.,.,.,.,.,.
"2020","BMW - Models in total","2005",5459,279212,270674,39,3310,2149
"2020","BMW - Models in total","2006",5872,266494,259217,34,3853,2019
"2020","BMW - Models in total","2007",7397,255371,249562,31,5114,2283
"2020","BMW - Models in total","2008",8531,241152,236042,27,6185,2346
"2020","BMW - Models in total","2009",5395,223671,219024,24,4096,1299
"2020","BMW - Models in total","2010",5841,206862,202388,24,4438,1403
"2020","BMW - Models in total","2011",4558,197563,192125,19,3707,851
"2020","BMW - Models in total","2012",4042,173921,167958,14,3483,559
"2020","BMW - Models in total","2014",1765,138398,131037,7,1636,129
"2020","BMW - Models in total","2013",4123,154445,148717,9,3754,369
"2020","BMW - Models in total","2015",5237,110181,103003,5,4958,279
"2020","BMW - Models in total","2016",1235,101661,88692,6,1161,74
"2020","BMW - Models in total","2017",4938,64910,57571,5,4692,246
"2020","BMW 1","Years in total",6729,155338,146814,19,5420,1309
"2020","BMW 1","2002",.,.,.,.,.,.
"2020","BMW 1","2003",.,.,.,.,.,.
"2020","BMW 1","2004",.,.,.,.,.,.
"2020","BMW 1","2005",616,236474,215292,39,377,239
"2020","BMW 1","2006",523,200037,194819,31,361,162
"2020","BMW 1","2007",578,196666,186945,30,407,171
"2020","BMW 1","2008",943,181048,173291,25,709,234
"2020","BMW 1","2009",675,178197,171585,20,537,138
"2020","BMW 1","2010",608,160096,155433,22,474,134
"2020","BMW 1","2011",516,148392,141317,15,439,77
"2020","BMW 1","2012",607,133479,130323,11,543,64
"2020","BMW 1","2014",136,98242,94374,5,129,7
"2020","BMW 1","2013",431,119367,115145,11,382,49
"2020","BMW 1","2015",408,82802,79542,3,396,12
"2020","BMW 1","2016",106,74708,66906,5,101,5
"2020","BMW 1","2017",582,49281,45854,3,565,17
"2020","BMW 2","Years in total",920,78341,70902,5,876,44
"2020","BMW 2","2002",.,.,.,.,.,.
"2020","BMW 2","2003",.,.,.,.,.,.
"2020","BMW 2","2004",.,.,.,.,.,.
"2020","BMW 2","2005",.,.,.,.,.,.
"2020","BMW 2","2006",.,.,.,.,.,.
"2020","BMW 2","2007",.,.,.,.,.,.
"2020","BMW 2","2008",.,.,.,.,.,.
"2020","BMW 2","2009",.,.,.,.,.,.
"2020","BMW 2","2010",.,.,.,.,.,.
"2020","BMW 2","2011",.,.,.,.,.,.
"2020","BMW 2","2012",.,.,.,.,.,.
"2020","BMW 2","2014",.,.,.,.,.,.
"2020","BMW 2","2013",.,.,.,.,.,.
"2020","BMW 2","2015",458,96244,91912,5,433,25
